venue,innings,batting_team,bowling_team,tot,wickets
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,57,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,24,2
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,40,1
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Punjab Kings,31,2
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Chennai Super Kings,65,1
Dr DY Patil Sports Academy,1,Kochi Tuskers Kerala,Pune Warriors,37,4
Dr DY Patil Sports Academy,2,Pune Warriors,Kochi Tuskers Kerala,44,1
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,41,1
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,28,3
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,31,1
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,62,1
Wankhede Stadium,1,Mumbai Indians,Kochi Tuskers Kerala,44,0
Wankhede Stadium,2,Kochi Tuskers Kerala,Mumbai Indians,45,0
MA Chidambaram Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,45,0
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,33,3
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Punjab Kings,48,1
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Deccan Chargers,62,0
Dr DY Patil Sports Academy,1,Pune Warriors,Delhi Daredevils,62,1
Dr DY Patil Sports Academy,2,Delhi Daredevils,Pune Warriors,65,0
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,36,2
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,26,1
Nehru Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,42,1
Nehru Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,49,1
Arun Jaitley Stadium,1,Deccan Chargers,Delhi Daredevils,43,1
Arun Jaitley Stadium,2,Delhi Daredevils,Deccan Chargers,38,3
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,33,4
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,32,1
Eden Gardens,1,Kochi Tuskers Kerala,Kolkata Knight Riders,45,0
Eden Gardens,2,Kolkata Knight Riders,Kochi Tuskers Kerala,37,3
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,77,1
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,45,2
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,34,2
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,44,2
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,48,1
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,57,0
Arun Jaitley Stadium,1,Delhi Daredevils,Punjab Kings,69,0
Arun Jaitley Stadium,2,Punjab Kings,Delhi Daredevils,46,1
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,56,1
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,41,2
Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,32,2
Sawai Mansingh Stadium,2,Rajasthan Royals,Kochi Tuskers Kerala,38,0
MA Chidambaram Stadium,1,Chennai Super Kings,Pune Warriors,45,0
MA Chidambaram Stadium,2,Pune Warriors,Chennai Super Kings,40,4
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,42,1
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,65,1
Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,37,3
Dr DY Patil Sports Academy,2,Chennai Super Kings,Pune Warriors,28,1
Nehru Stadium,1,Deccan Chargers,Kochi Tuskers Kerala,20,3
Nehru Stadium,2,Kochi Tuskers Kerala,Deccan Chargers,29,6
Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Daredevils,42,1
Arun Jaitley Stadium,2,Delhi Daredevils,Kolkata Knight Riders,40,1
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,31,2
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,18,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,57,0
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,42,1
Nehru Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,34,2
Nehru Stadium,2,Kochi Tuskers Kerala,Delhi Daredevils,37,3
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,40,2
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,45,2
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,49,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,34,1
MA Chidambaram Stadium,1,Chennai Super Kings,Deccan Chargers,34,1
MA Chidambaram Stadium,2,Deccan Chargers,Chennai Super Kings,64,0
Wankhede Stadium,1,Mumbai Indians,Punjab Kings,35,1
Wankhede Stadium,2,Punjab Kings,Mumbai Indians,24,1
Arun Jaitley Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,42,2
Arun Jaitley Stadium,2,Kochi Tuskers Kerala,Delhi Daredevils,65,1
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,40,1
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,41,2
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,47,0
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,43,1
Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,45,1
Dr DY Patil Sports Academy,2,Pune Warriors,Mumbai Indians,30,2
Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,35,2
Nehru Stadium,2,Kolkata Knight Riders,Kochi Tuskers Kerala,43,0
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,43,1
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,25,3
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,48,1
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,38,4
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,15,2
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,33,2
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,50,1
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,23,4
M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,49,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,79,1
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Pune Warriors,34,1
"Punjab Cricket Association Stadium, Mohali",2,Pune Warriors,Punjab Kings,40,1
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,51,0
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,48,2
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Pune Warriors,50,0
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Deccan Chargers,52,0
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,39,1
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,33,3
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43,0
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,66,0
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Daredevils,42,2
MA Chidambaram Stadium,2,Delhi Daredevils,Chennai Super Kings,52,1
Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Punjab Kings,61,0
Holkar Cricket Stadium,2,Punjab Kings,Kochi Tuskers Kerala,49,2
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,33,3
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,65,2
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,32,1
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,26,3
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Daredevils,43,1
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Punjab Kings,42,0
Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,32,3
Holkar Cricket Stadium,2,Kochi Tuskers Kerala,Rajasthan Royals,87,2
Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,39,2
Dr DY Patil Sports Academy,2,Deccan Chargers,Pune Warriors,56,0
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Royal Challengers Bangalore,30,1
Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Punjab Kings,34,3
MA Chidambaram Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,41,2
MA Chidambaram Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,40,1
Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,28,2
Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,44,1
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,26,2
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,52,0
Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Punjab Kings,58,0
Himachal Pradesh Cricket Association Stadium,2,Punjab Kings,Deccan Chargers,45,2
Arun Jaitley Stadium,1,Delhi Daredevils,Pune Warriors,32,2
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,23,4
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,44,1
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,46,2
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,52,1
Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,43,1
Wankhede Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,25,2
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,25,4
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,62,0
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Mumbai Indians,68,0
MA Chidambaram Stadium,2,Mumbai Indians,Royal Challengers Bangalore,48,2
MA Chidambaram Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,56,0
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,47,2
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,42,2
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,53,0
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,40,4
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,48,0
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,30,3
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,27,3
Sawai Mansingh Stadium,1,Rajasthan Royals,Punjab Kings,57,0
Sawai Mansingh Stadium,2,Punjab Kings,Rajasthan Royals,45,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,46,2
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,46,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,44,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Deccan Chargers,Chennai Super Kings,45,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,37,1
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,27,4
Subrata Roy Sahara Stadium,1,Pune Warriors,Punjab Kings,38,2
Subrata Roy Sahara Stadium,2,Punjab Kings,Pune Warriors,19,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,45,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Deccan Chargers,29,2
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,60,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,20,3
Arun Jaitley Stadium,1,Chennai Super Kings,Delhi Daredevils,41,2
Arun Jaitley Stadium,2,Delhi Daredevils,Chennai Super Kings,50,2
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,54,1
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,44,2
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,55,1
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,52,0
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Punjab Kings,29,3
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Pune Warriors,38,1
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,45,0
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,36,1
Arun Jaitley Stadium,1,Deccan Chargers,Delhi Daredevils,50,1
Arun Jaitley Stadium,2,Delhi Daredevils,Deccan Chargers,34,3
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,43,0
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,56,1
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,26,2
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,48,2
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,54,2
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,19,2
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,41,1
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,57,0
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,62,0
M Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,58,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Pune Warriors,42,2
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,45,1
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,53,1
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,33,2
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,64,1
MA Chidambaram Stadium,1,Chennai Super Kings,Pune Warriors,41,0
MA Chidambaram Stadium,2,Pune Warriors,Chennai Super Kings,53,2
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,41,2
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Punjab Kings,36,3
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,41,1
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,45,0
Arun Jaitley Stadium,1,Pune Warriors,Delhi Daredevils,51,1
Arun Jaitley Stadium,2,Delhi Daredevils,Pune Warriors,49,1
Wankhede Stadium,1,Mumbai Indians,Punjab Kings,39,0
Wankhede Stadium,2,Punjab Kings,Mumbai Indians,48,0
Barabati Stadium,1,Deccan Chargers,Kolkata Knight Riders,39,1
Barabati Stadium,2,Kolkata Knight Riders,Deccan Chargers,42,1
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,37,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,48,0
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,28,2
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,61,1
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,44,1
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,38,0
Subrata Roy Sahara Stadium,1,Deccan Chargers,Pune Warriors,50,2
Subrata Roy Sahara Stadium,2,Pune Warriors,Deccan Chargers,44,2
Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,54,0
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,49,3
MA Chidambaram Stadium,1,Punjab Kings,Chennai Super Kings,43,0
MA Chidambaram Stadium,2,Chennai Super Kings,Punjab Kings,48,1
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,46,0
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35,3
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,42,2
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,40,0
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,38,1
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,31,2
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,43,2
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,35,1
Barabati Stadium,1,Deccan Chargers,Pune Warriors,33,2
Barabati Stadium,2,Pune Warriors,Deccan Chargers,48,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,56,0
Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,61,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,33,1
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,53,1
Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,42,0
Subrata Roy Sahara Stadium,2,Pune Warriors,Mumbai Indians,37,1
MA Chidambaram Stadium,1,Chennai Super Kings,Deccan Chargers,55,1
MA Chidambaram Stadium,2,Deccan Chargers,Chennai Super Kings,47,1
Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,64,0
Eden Gardens,2,Pune Warriors,Kolkata Knight Riders,44,2
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Punjab Kings,60,1
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Rajasthan Royals,33,2
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,52,1
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,46,1
M Chinnaswamy Stadium,1,Deccan Chargers,Royal Challengers Bangalore,46,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Deccan Chargers,46,0
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,50,2
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,60,0
Subrata Roy Sahara Stadium,1,Pune Warriors,Rajasthan Royals,35,1
Subrata Roy Sahara Stadium,2,Rajasthan Royals,Pune Warriors,49,2
"Rajiv Gandhi International Stadium, Uppal",1,Punjab Kings,Deccan Chargers,51,0
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Punjab Kings,39,2
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25,2
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,35,0
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,28,2
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,36,2
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,66,0
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,50,3
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,49,1
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,32,2
MA Chidambaram Stadium,1,Delhi Daredevils,Chennai Super Kings,27,4
MA Chidambaram Stadium,2,Chennai Super Kings,Delhi Daredevils,45,0
Sawai Mansingh Stadium,1,Rajasthan Royals,Pune Warriors,45,1
Sawai Mansingh Stadium,2,Pune Warriors,Rajasthan Royals,33,4
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Punjab Kings,47,1
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Deccan Chargers,44,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,40,2
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,31,3
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,50,0
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,51,0
Arun Jaitley Stadium,1,Punjab Kings,Delhi Daredevils,47,2
Arun Jaitley Stadium,2,Delhi Daredevils,Punjab Kings,37,4
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,32,2
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,26,1
Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,Punjab Kings,25,2
Himachal Pradesh Cricket Association Stadium,2,Punjab Kings,Chennai Super Kings,43,0
Arun Jaitley Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,42,1
Arun Jaitley Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,51,2
"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,Deccan Chargers,41,1
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Rajasthan Royals,57,0
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Daredevils,20,4
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Punjab Kings,44,0
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,27,1
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,40,1
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,23,3
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,40,2
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,31,2
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,44,0
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Delhi Daredevils,48,1
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Kolkata Knight Riders,49,2
M Chinnaswamy Stadium,1,Chennai Super Kings,Mumbai Indians,30,2
M Chinnaswamy Stadium,2,Mumbai Indians,Chennai Super Kings,54,1
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Daredevils,48,0
MA Chidambaram Stadium,2,Delhi Daredevils,Chennai Super Kings,46,2
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,53,0
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,56,1
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,45,2
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,46,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,31,2
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,38,0
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Pune Warriors,34,1
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Sunrisers Hyderabad,27,0
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Daredevils,44,1
Arun Jaitley Stadium,2,Delhi Daredevils,Rajasthan Royals,39,1
MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,41,2
MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,36,2
Subrata Roy Sahara Stadium,1,Pune Warriors,Punjab Kings,24,2
Subrata Roy Sahara Stadium,2,Punjab Kings,Pune Warriors,56,1
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,40,2
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,37,2
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,35,1
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,40,2
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,38,2
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,46,2
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Chennai Super Kings,43,2
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Punjab Kings,38,0
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,37,1
Subrata Roy Sahara Stadium,1,Rajasthan Royals,Pune Warriors,44,1
Subrata Roy Sahara Stadium,2,Pune Warriors,Rajasthan Royals,64,1
Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,29,3
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,38,1
Wankhede Stadium,1,Mumbai Indians,Pune Warriors,48,0
Wankhede Stadium,2,Pune Warriors,Mumbai Indians,40,4
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,33,1
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,31,2
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,48,0
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,38,0
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,34,3
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,48,1
MA Chidambaram Stadium,1,Pune Warriors,Chennai Super Kings,48,0
MA Chidambaram Stadium,2,Chennai Super Kings,Pune Warriors,38,2
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,35,1
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,45,2
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,43,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,48,2
Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,Pune Warriors,25,4
Subrata Roy Sahara Stadium,2,Pune Warriors,Sunrisers Hyderabad,41,2
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,58,0
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,26,2
Arun Jaitley Stadium,1,Chennai Super Kings,Delhi Daredevils,39,1
Arun Jaitley Stadium,2,Delhi Daredevils,Chennai Super Kings,32,4
"Rajiv Gandhi International Stadium, Uppal",1,Punjab Kings,Sunrisers Hyderabad,36,1
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Punjab Kings,33,1
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,47,1
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,27,1
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31,2
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,48,0
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Daredevils,24,2
Arun Jaitley Stadium,2,Delhi Daredevils,Mumbai Indians,60,0
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Punjab Kings,48,0
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Pune Warriors,55,2
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,55,0
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,58,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,62,0
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,43,4
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Daredevils,53,0
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Punjab Kings,21,3
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,61,1
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,42,1
